#Chinese	#English
見深見淺由他去 誰是誰非有公平	All is a matter of opinion; Fairness will eventually be.
見無相之相 論不空為空	Glimpse the form of formlessness; Debate on the emptiness of non-emptiness.
見道	to see the Way
親子聯誼活動	Children and Parents Camp
親近	Be Close To
覺世	Awakening the World Periodical
覺世報	Awakening the World News
覺世社	Awakening the World
覺世編輯部	Awakening the World Editorial Department
覺岸正光明 法流大自在	Consummate perfect ease over the river of Dharma; Illuminating brightness on the bank of awakening.
覺有情	An Enlightened Sentient Being
覺有情	awakened sentient being
覺有情─大師墨跡展	To Enlighten Sentient Beings - An Exhibition of Calligraphy by Venerable Master Hsing Yun
覺照	Awareness
覺生	Awakening Living Beings Magazine
覺知	Awareness
覺群	Awaken the Masses Weekly
覺群社	Awakening the Multitude Weekly News
覺華園	Jetavana Grove Reception Center
覺道	Path of Awakening
觀世音	Avalokitesvara
觀世音菩薩普門品	The Lotus Sutra’s Universal Gate Chapter on Avalokitesvara Bodhisattva
觀世音菩薩普門品講話	The Universal Gate: A Commentary on Avalokitesvara's Universal Gate Sutra
觀境明自性 養道悟禪心	Realize one's own nature by observing conditions, Cultivate the Way by attaining the mind of Chan.
觀察	clear perception
觀察員	Observer
觀心	Observe the Mind
觀心自在 如如不動	Remain Carefree by Observing the Mind; Remain Unmoved Just as You Are
觀想	contemplation
觀晚霞悟知無常 因為夕陽近黃昏 觀白雲悟知舒卷 因為雲出岫無心 觀山岳悟知靈奇 因為遠眺山無色 觀海洋悟知浩瀚 因為海水碧連天	Twilight carries the message of impermanence, for sunset brings us closer to nightfall. Clouds carry the message of perfect ease, for they top the highest peaks unwittingly. Mountain ranges carry the message of spirituality, for from a distance, they look otherwise. The ocean carries the message of vastness, for it joins the sky beyond the horizon.
觀海明水深 登山知地廣	Perceive the depth of water observing the ocean; Realize the broadness of the Earth climbing the mountains.
觀海知水深 登山覺地廣	Perceive the depth of water observing the ocean; Realize the broadness of the Earth climbing the mountains.
觀無量壽經	Contemplation Sutra
觀空	Observing Emptiness
觀自在	Avalokitesvara
觀音	Avalokitesvara
觀音不要走	“Kuan Yin Please Stay” Movement
觀音放生池	Avalokitesvara Pond
觀音殿	Avalokitesvara Shrine
觀音池	Guan Yin Pond
觀音菩薩聖誕	Avalokitesvara Bodhisattva's Birthday
解二諦義	Understanding the Two Truths
解脫	liberation
解脫小吃部	Liberation Snack Bar
解脫自在	Liberated and at Ease
解脫道	the path of liberation
解脫門	Gate of Perfect Ease
解鈴還須繫鈴人	the knot can only be untied by the knotter
言無名利 行絕虛浮	Speak Not of Fame and Gain; Act Without Superficiality
言語道斷	beyond words
言說之巧(上) 疑人的事不可言說 蠱惑的事異端邪說 沒有的事絕不妄說 他家的事不太好說 理虧的事不容分說 害人的事永遠不說 錯誤的事不能傳說 聽來的事寧可莫說 感情的事無話可說 不實的事千萬別說 尷尬的事羞對人說 誤會的事就怕不說 街坊的事道聽塗說 生氣的事緩和再說 失誤的事總會被說 道歉的事要自己說 紛諍的事再也不說 掃興的事何必多說 勸誡的事看情況說 曾經的事好歹一說	The Art of Talking (1) Do not speak about your doubts of others. Spells and bewitchment are heretical teachings. Do not mention something that is not true. It is not your place to talk about others' family matters. Needless to defend yourself when in a wrong position. Never say anything that may cause harm to people. Never spread unwholesome and detrimental news. It is better not to discuss mere hearsay.  There is nothing to say about relationships. Never bring up anything that is not true. Hold back sharing your moments of embarrassment. Be sure to clarify your misunderstandings. Neighborhood rumors are just gossip. Think thrice before you speak out of anger. Mistakes are always being mentioned. Apologies should be said in person. Never speak again of past disputes. There is no need to mention what may dampen moods. Give your advice only according to circumstances. It does not hurt to mention past experiences.
言說之巧(下) 心內的事少對人說 過去的事不必再說 緊急的事長話短說 重要的事謹慎的說 不懂的事了解再說 別人的事儘量不說 煩瑣的事見面再說 準備的事不能漏說 商量的事當面好說 炫耀的事完成再說 快樂的事看場合說 公開的事無須您說 讚美的事應當常說 助人的事一定可說 利眾的事公然來說 勵志的事著書立說 有益的事到處宣說 應答的事有話當說 承諾的事不要空說 明天的事明日再說	The Art of Talking (2) It is better not to talk about the secrets in your mind. There is no need to mention what is already in the past. Speak concisely in moments of urgency. Speak deliberately about important matters. It is important to understand clearly what you are about to say. Refrain from talking about other people's matters. Discuss tedious matters in person. Do not disclose your plans. Negotiation is done best face to face. Never boast about what is not yet finished. Sense the atmosphere before you share good news. Needless to announce what is already known to the public. Praises should be said often. Always make kind deeds known. Talk openly about what is for the greater good. Publish and speak about good inspirations. Spread good news far and wide. Be honest about the promises you have made. Never speak empty words of promise. Leave talks about tomorrow for tomorrow.
許願池	Wishing Pond
診所旁停車場	United Clinic Parking Lot
詩品	A Critique of Poetry
詩歌人間：歌集	Poetry and Lyrics for the World: Lyrics
詩歌人間：詩集	Poetry and Lyrics for the World: Poetry
話說佛光山	Fo Guang Shan: Retrospection
話說佛光山 1：開山篇	Fo Guang Shan: Retrospection: Founding
話說佛光山 2：人事篇	Fo Guang Shan: Retrospection: People and Events
話說佛光山 3：寺院篇	Fo Guang Shan: Retrospection: Temples
認錯，要有勇氣	It takes courage to admit one's mistakes.
認養921地震受災國中小學重建簽約儀式	Rebuilding Elementary and Junior High Schools of September 21st Taiwan Earthquake Campaign
誘惑	Temptation
語言要像陽光、花朵、淨水	Words should be like sunshine, flowers or clear water
語錄	record of sayings
誠	sincerity
誠信	Sincerity and Honesty
誠信厚道	Sincerity and Honesty
誠信為本	Sincerity and Honor are the Foundations
誠信的力量	The Strength of Honesty and Integrity
誠敬	Sincerity and Respect
誦戒	Chant the Precepts
誦經	to chant sutras
說來有法原無法 參透非空卻是空	Speaking of seemingly Dharma, Dharma never was at all; Dwelling into the non-empty, Emptiness it actually is.
說好話	speak good words
說法	expounding the Dharma
誰念彌陀	Who Is Chanting Amitabha?
調伏	to subdue
調心	Taming the Mind
調息	Adjusting the Breath
調身	Adjusting the Body
談因說果	Buddhism in Every Step: Cause and Effect
談情說愛	Buddhism in Every Step: Speaking of Love and Affection
談淨土法門	Pure Land Practices
談處世	Ways to Deal with the World
談讀書	Ways to Read
請法	Request Teachings
請益	Request Teachings
論鬼的形象	Ghosts and the Afterlife
諦聽	listen carefully
諸上善人	utmost virtuous people
諸事吉祥	Always Well-rounded and Auspicious
諸事圓滿	May All Things Go Perfectly Well
諸事圓滿	May Everything Go Perfectly for You
諸佛歡喜	All Buddhas Joyful
諸惡莫作 眾善奉行	Cease All Evil; Practice All Good
諸惡莫作，眾善奉行	do no evil, practice all wholesome deeds
謗三寶	Slandering the Triple Gem
謙和	Modest and Amiable
謙和養心 厚道有福	Nurture the Mind with Modesty and Amiability; Honesty Is the Way to Good Fortune
謙恭	Modest and Respectful
講堂	lecture hall
講師	Lecturer
講演集	Master Hsing Yun’s Lecture Series
講演集 1：學佛與求法	Master Hsing Yun’s Lecture Series: Learning from the Buddha and Seeking the Dharma
講演集 10：人間與實踐	Master Hsing Yun’s Lecture Series: The Human World and Actualization
講演集 2：佛教與生活	Master Hsing Yun’s Lecture Series: Buddhism and Life
講演集 3：佛教與青年	Master Hsing Yun’s Lecture Series: Buddhism and Youths
講演集 4：佛法與義理	Master Hsing Yun’s Lecture Series: Dharma and Doctrines
講演集 5：人生與社會	Master Hsing Yun’s Lecture Series: Life and Society
講演集 6：有情與心識	Master Hsing Yun’s Lecture Series: Sentiment and Will
講演集 7：緣起與還滅	Master Hsing Yun’s Lecture Series: Dependent Origination and Cessation
講演集 8：禪學與淨土	Master Hsing Yun’s Lecture Series: Chan and Pure Land
講演集 9：宗教與體驗	Master Hsing Yun’s Lecture Series: Religious Experiences
講經	Expounding the Dharma
講習會	seminar
講解	Explain
講說	Explain
證悟	attainment
識得人我關係處 一花一葉一如來	To know the ways between the self and others; One can see a buddha in a single flower or leaf.
識得人我關係處 山水草木盡放光	To know the ways between self and other; Light shines upon the mountains, rivers, and trees.
識心達本	to know the mind and penetrate the root
警策	warning staff
譬喻問號(一) 黃金似蛇蠍， 有毒無毒？ 惡口似糞坑， 是香是臭？ 冷淡似寒冰， 是涼是熱？ 瞋恚似烈火， 可怕不怕？ 信心似禾苗， 是長是消？ 罪惡似臭水， 難聞好聞？ 正見似盔甲， 是安不安？ 懺悔似淨水， 是清是染？ 忍辱似盾牌， 有用無用？ 知足似樂園， 好看難看？	Metaphors (1)  Gold is a snake. Is it poisonous or not? Harsh speech is a cesspit. Is it fragrant or odorous? Coldness is ice. Does it freeze or burn? Anger is burning fire. Is it frightening or not? Faith is a sprout. Does it grow or wilt? Transgression is stinky water. Does it smell good or bad? Right view is an armor. Is it safe or not? Repentance is purifying water. Is it clean or polluted? Patience is a shield. Does it protect or not? Contentment is paradise. Is it beautiful or ugly?
譬喻問號(三) 靜默似雷聲， 大聲小聲？ 無明似烏雲， 是耶否耶？ 妄語似汙垢， 淨乎穢乎？ 業力似影子， 隨也離也？ 人死似搬家， 此處彼處？ 殺人似殺己， 是也不是？ 憂慮似盜賊， 是偷是搶？ 煩惱似塵勞， 陳乎留乎？ 內心似田地， 種草種穀？ 信仰似寶藏， 要與不要？	Metaphors (3) Silence is thunder. Is it loud or soft?  Ignorance is a grey cloud.  Is it or is it not?  Lying is pollution. Is it pure or dirty?  Karma is a shadow. Does it follow or leave you? Death is moving houses. Here or there?  Killing life is killing yourself. Is it or is it not? Worry is a thief. Does it steal or rob? Affliction is dust. Does it accumulate or stay? The mind is a field. Shall we grow weeds or crops? Faith is a treasure. Do you want it or not?
譬喻問號(二) 智慧似海洋， 深乎淺乎？ 戒律似老師， 是正是邪？ 布施似耕耘， 有收無收？ 供養似奉獻， 真心假意？ 美女似春花， 是久是暫？ 欲望似饑渴， 太多太少？ 語言似冬陽， 炙乎暖乎？ 笑容似春風， 是真是假？ 時間似車輪， 該快該慢？ 精進似電力， 是動是停？	Metaphors (2) Wisdom is an ocean. Is it shallow or deep? Precepts are teachers. Are they righteous or not? Generosity is cultivation. Will there be harvests or not? Offering is dedication. Is it genuine or pretentious? Beauty is a spring blossom. Does it last long or short? Desire is thirst. Is it too much or too little? Words are the winter sun. Do they warm or burn? Smile is a spring breeze. Is it real or fake? Time is a cartwheel. Should it go fast or slow? Diligence is electricity. Should it energize or stop?
譬喻問號(四) 求法似爬山， 是高是遠？ 心性似明鏡， 照己照人？ 因緣似條件， 夠與不夠？ 寺院似學校， 有學無學？ 飲食似湯藥， 是合不合？ 人身似物品， 有好有壞？ 生命似風?， 是安是危？ 人心似猿馬， 是燥是安？ 欲望似深淵， 可下不可？ 傲慢似高山， 不登為好！	Metaphors (4) Learning Dharma is climbing a mountain. Is it tall or far?  The mind is a bright mirror. Is the reflection you or others? Conditions are terms. Are they sufficient or not? Temples are schools. Do you or do you not learn? Food is like medicine. Is it good for you or not? The body is an object. Is it functioning or not? Life is a candle in the wind. Is it safe or is it in danger? Human mind is a monkey or horse. Is it restless or is it peaceful? Desire is an abyss. Can you go down there or not? Arrogance is a lofty mountain. You may as well stay away!
護國	Protecting the Country
護國息災水陸法會	Blessing the Country Water and Land Dharma Service
護國息災法會	National Peace Praying Dharma Service
護念	Safeguard the Mind
護持	Protect and Support
護持委員會	Benefactors Committee
護教	Protecting Buddhism
護法	Protecting the Dharma
護法委員會	Dharma Protectors Committee
護生	Protecting Lives
護生畫集	Illustrations of Life Protection
讀一流書 做一流人	Read First-Rate Books, Be a First-Rate Person
讀書六要 讀做一個人 讀明一點理 讀悟一點緣 讀知一些事 讀懂一世情 讀通一顆心	Six Purposes of Reading Read to be a better person, Read to understand reasons, Read to see causes and conditions, Read to gain some insight, Read to comprehend a lifetime's sentiments, Read to understand that very heart.
讀書會帶領人講習會	Humanistic Buddhism Reading Group Facilitator's Training Seminar
讀書與生活的關係	Life and Studying
讀藏指導：佛經表解	Guide to the Buddhist Canon: Outlines of Buddhist Texts
變易	to change
變相	Illustration
讚歎	praise
讚美如花香芬芳而怡人 助人如冬陽光明而溫暖 信心如舟航乘風而破浪 願望如滿月清涼而美好	Words of praise are like flowers whose aroma soothes hearts. A helping hand is like the sun bringing warmth in cold winter. Confidence is like a ferry which sails through rough wind and waves. Hope is like a full moon which is so bright and beautiful.
讚美的語言好似香水 勸誡的開示好比甘露 善美的歌曲扣人心弦 勵志的文章讓人上進 滴水的功用生長萬物 和風的吹拂清涼人心 洪鐘的鳴聲驚醒迷夢 冬日的太陽溫暖人間	Words of praise are fragrant perfumes. Sincere admonition is nourishing nectar. Inspirational songs are heart-gripping. Inspirational writings are motivating. Water droplets cultivate lives. Soft breezes caress and soothe the heart. A big bell's chime awakens dreamers. The winter sun warms the world.
谷靜風聲細 門空鳥語稀	Quiet valleys, and gentle wind whispers; Empty doors, and rare bird chirpings.
豁達	Open-Minded
豎窮三際，橫遍十方	across all of time, and all of space
財務組	Financial Unit
財團法人佛光山人間佛教研究院	FGS Institute of Humanistic Buddhism
貧僧	Humble Monk
貧僧有話要說	Hear Me Out: Messages from a Humble Monk
貧僧有話要說系列 – 人間因緣的重要	Buddhism in Every Step: Hear Me Out – The Importance of Causes and Conditions in this World
貧僧有話要說系列 – 我對問題的回答	Buddhism in Every Step: Hear Me Out – My Answers
貧僧有話要說系列 – 我對生死的看法	Buddhism in Every Step: Hear Me Out – My Perspective on Life and Death
貧僧有話要說系列 – 我怎樣走上國際的道路	Buddhism in Every Step: Hear Me Out – Paving My Way to International Status
貧僧有話要說系列 – 我的管理模式	Buddhism in Every Step: Hear Me Out – My Way of Management
貧僧說話的回響	Hear Me Out: Reflections
貧窮就是罪惡	Poverty is such a crime.
貪念	Greed
貪愛	Clinging
貪欲	Desire
貪瞋痴	greed, hatred, and ignorance
責人之心責己 恕己之心恕人	Reproach Others in the Same Way You Reproach Yourself; Forgive Others in the Same Way You Forgive Yourself
貴耳賤目	to trust one's ears rather than one's eyes
資糧	provision
賢德之士	eminent and virtuous people
走江湖	Jianghu roamer
超度	Deliver
超薦法會	memorial Dharma service
趙州茶	Zhaozhou tea
跨世紀的悲欣歲月─走過台灣佛教五十年寫真	Cross-century Times of Joys and Sorrows: a 50-year Portrait of Buddhism in Taiwan
路在腳下	The Path Is Under Our Feet
路在腳下 希望在前	The Path Is Under Our Feet; The Future Is Right Ahead
身如青山觀大地 心似明鏡照世間	My body is like a green mountain that gazes upon the Earth; My mind is like a bright mirror that reflects on this world.
身如青山觀天地 心似明鏡照大千	My body is like a green mountain that gazes upon the Earth; My mind is like a bright mirror that reflects on the universe.
身心清淨方為道 退步原來是向前	Purifying the body and mind is the Way; A step back is in fact a step forward.
輔導法師	Guiding Venerable
輔教編	Auxiliary Teachings
輕安	at ease
輪椅捐贈	Wheelchair Donation Ceremony
輪迴	Cycle of Rebirth
轉女成男	to be transformed from a female into a male
轉法輪	to turn the Dharma Wheel
轉識	Transforming Consciousness
轉識成智; 1. 成所作智 2. 妙觀察智 3. 平等性智 4. 大圓鏡智	Four Kinds of Wisdom: 1. wisdom of perfect conduct; 2. wisdom of profound insight; 3. wisdom of universal equality; 4. perfect mirror-like wisdom
轉身	turn around
辯宗論	Discerning the Truth
辯才無礙	supreme eloquence
返璞歸真	to recover one's true nature
迷信	superstition
迷悟	Ignorance and Enlightenment
迷悟之間	Between Ignorance and Enlightenment
迷惑	Confusion
迷者迷心為眾色 悟時悟道是真心	One deluded with a delusive heart is trapped by forms; A moment of awakening on the path to awakenment is the true mind.
追思祈福法會	memorial service
退一步天高地闊 讓三分心平氣和	If you take a step back, you will see a much bigger world; If you compromise but a little, you will feel greater peace.
退單	Check-Out
退居	Retired Abbot
退居和尚	Former Abbot
送單	Sent to Lodging
逆境	Hardship
逆增上緣	reverse contributive factors
通度寺•曹溪宗首剎	Tongdo Monastery, main monastery of the Jogye Order
通身手眼	your whole body is your eyes and hands
通達	Thorough Understanding
速證菩提	enlightenment is quickly attained
造化	Creation
造業	Creating Karma
逢場作戲	to play along for a little fun
進門來個個自在 走出去人人平安	Let those passing through the door be at perfect ease; May everyone departing the house be well and safe.
遊戲	to be free and at ease
遊行	to wander, travel
遍吉王	King of Universal Auspice
過去	past
過堂	Formal Buddhist Meal
道人	Traveler of the Way
道友	Companions of the Way
道品	Stages of the Way
道場	place for spiritual practice
道外無言方是道 心中有事並非心	The true Way is a wordless response outside of the Way; Not the true mind is a mind that carries matters within.
道外無言方是道 心中有事便非心	The true Way is a wordless response outside of the Way; Not the true mind is a mind that carries matters within.
道心	Mind for the Way
道念	A Mind of Cultivation
道念	Mindfulness of the Path
道本	Basis of the Way
道為人本	The Way Is the Basis of a Human Being
道無古今 悟在當下	The Way Has No Past or Present; Enlightenment Is in the Present Moment
道無古今 悟在當下	The Ways speak not of time, Attainment is here and now.
道行	Practicing the Way
道行天下	The Way Extends Across the World
道諦	Path of Truth
道高一尺，魔高一丈	virtue is one foot tall, the devil ten foot
道高龍虎伏 德重鬼神欽	Of tremendous attainment even dragons and tigers are tamed; Of immense virtue even the spirits and deities are respectful.
遠塵離垢	to be far removed from the dust and defilement of the world
遠親不如近鄰	neighbors are better than distant relatives
選佛場	Buddha selection court
那爛陀寺	Nalanda Maharihara
邪魔外道	demons and heretics
都監	Executive
都監院	Executive Council
醒悟	Awaken
釋迦牟尼佛傳	The Biography of Sakyamuni Buddha
釋迦牟尼佛感恩日	Gratitude for Sakyamuni Buddha Day
釋迦牟尼佛成道日	Buddha's Enlightenment Day
釋迦譜	Genealogy of the Sakya Clan
重新估定價值	Reappraising value
1. 重覆的舉止 會變成習慣 2. 定型的習慣 會變成個性 3. 個性的走向 會決定命運 4. 命運的好壞 會決定一生	Repeated actions become your habits, Habits determine your character, Character influences your future, Your future decides your life.
量周沙界	As Magnanimous as the Entire Universe
金佛樓	Golden Buddha Building
金佛殿	Golden Buddha Shrine
金光明	golden light
金光明經	Suvarnabhasottama Sutra (the Sutra of Golden Light)
金剛	diamond
金剛不壞	indestructible diamond
金剛不壞身	a body as indestructible as diamond
金剛心	Diamond heart
金剛智	Vajra Wisdom
金剛經	The Diamond Sutra
金剛經講話	Describing the Indescribable: A Discourse on the Diamond Sutra
金剛經講話	A Commentary on the Diamond Sutra
金剛身	the diamond body
金喬覺	Jin Qiaojue
金山海	Golden Mountain and Ocean
金山玉水	Like a Mountain of Gold and River of Jade
金山玉水 吉慶人家	Like a Mountain of Gold and River of Jade; A Family of Auspicious Blessings and Celebrations
金獅幹部	Golden Lion Executive
金玉滿堂 1：佛光菜根譚	A House Full of Gold and Jade- Roots of Wisdom
金玉滿堂 10：法相	A House Full of Gold and Jade- Faxiang: Buddhist Terminology
金玉滿堂 2：星雲說偈	A House Full of Gold and Jade: Cloud and Water: An Interpretation of Chan Poems
金玉滿堂 3：人間萬事	A House Full of Gold and Jade- The Many Matters of Life
金玉滿堂 4：佛光山名家百人碑牆	A House Full of Gold and Jade- Stele of Wisdom
金玉滿堂 5：星雲法語	A House Full of Gold and Jade- Hsing Yun's Dharma Words
金玉滿堂 6：佛光祈願文	A House Full of Gold and Jade- Pearls of Wisdom: Prayers for Engaged Living
金玉滿堂 7：古今譚	A House Full of Gold and Jade- Classical and Contemporary Talks
金玉滿堂 8：禪話禪畫	A House Full of Gold and Jade- Chan Heart, Chan Art
金玉滿堂 9：人間音緣	A House Full of Gold and Jade- Sounds of the Human World
金相	Golden Form
金色年華	Golden Years
金身合璧•佛光普照—河北幽居寺佛首捐贈儀式	Universal Shining of Buddha's Light: the Sacred Reunion - Presentation Ceremony of the Buddha's Head Statue to Youju Temple, Hebei Province, China
金陵刻經處	Jinling Scriptural Press
金陵印經會	Jinling Sutra Printing Association
金陵支那內學院	Jinling China Inner Studies Academy
金陵文化書院	Jinling Cultural Academy
金陵書院	Jinling Academy
鈍根	dull aptitude
鈴鼓	drum and bell
錢，用了才是自己的	Only wealth well spent is really yours to keep
錦上添花天下有 雪中送炭世間少	To gild refined gold is perpetual attrition; To deliver coal in the snow is a kind deed uncommon.
錫杖	staff
錯誤不能一直下去	You cannot keep being wrong
鐃鈸	Big Cymbals
鐘板	Bell and Board
鐘樓	Bell Tower
鐘鼓	Bell and Drum
鐘鼓樓	Drum Tower
鐵眼大藏經	Tetsuganzo (Iron Eye Tripitaka)
鐵杵成針	An Iron Pestle Can Be Ground Down to a Needle
鐺鉿	Hand-gong and Cymbal
鑑真圖書館	Jianzhen library
鑑真圖書館奠基儀式	Foundation Laying Ceremony of Jianzhen Library
鑽故紙	study a pile of old documents
長明燈	Eternal Lamp
長老	Elder
長養	to nurture
長養菩提樹 開啟智慧門	Nurture the Bodhi Tree; Open the door to wisdom.
門外漢	layman
閉關	Retreat
開光落成	inauguration ceremony
開山	founder
開山三十週年紀念碑	FGS 30th Anniversary Commemorative Wall
開山寮	Founder's Hall
開山門	to open the monastery gate
開心果	Mood Maker
開放	Openness
開梆	Wooden Board
開發心田 1. 點亮心中明燈 可以照耀人間 2. 開發心中能源 可以增加財富 3. 種植心中禾苗 可以開花結果 4. 發掘心中自性 可以明心悟道 5. 散播心中歡喜 可以廣結善緣 6. 覺照心中真理 可以洞徹世間	Cultivating the Mind When the mind shines, the world also illuminates. When the energy of the mind is charged, wealth also comes. When the mind is cultivated, there will be harvests. When one's intrinsic nature is uncovered, enlightenment is possible. When joy is spread, friendship will be created. When the Truth is realized, insight also arises.
開眼界	to broaden one's views
開示	Teach
閱讀讓夢想起飛	Reading: Let Dreams Take Flight
閻浮	Jampudiva
閻羅王	Yama
關則練心 靜則養心 做則用心 行則運心 言則省心 亂則安心 動則治心 定則無心	When in seclusion, train the mind. When in quietude, nurture the mind. When in practice, dedicate the mind. When in action, utilize the mind. When speaking, reflect on the mind. When in clamor, settle the mind. When in movement, remedy the mind. When in concentration, empty the mind.
闡提	icchantika
闡提成佛; 1. 斷善闡提 2. 大悲闡提	Icchantikas Can Attain Buddhahood: 1. icchantikas of eradicated goodness; 2. icchantikas of great compassion
阻礙要有誠意去消除 打擊要有力量去承受 破壞要有勇氣去修復 委屈要有自我去化解 汙辱要有寬容去忍受 失敗要有毅力去振作 衝動要有定力去克服 無明要有慧光去照耀	Overcome obstacles with sincerity. Bear the weight of setbacks with strength. Repair destruction with courage. Reconcile misunderstandings in person. Endure insults with tolerance. Recover from failure with persistence. Control your impulses with meditative concentration. Dispel the darkness of ignorance with the light of wisdom.
阿修羅	asura
阿僧祇	asamkhya
阿含經與人間佛教	Agama Sutra and Humanistic Buddhism
阿含經選講	Highlights on the Agama Sutras
阿彌陀佛	Amitabha Buddha
阿彌陀經	The Amitabha Sutra
阿毘達磨	Abhidharma
阿毘達磨俱舍論	Abhidharmakosa Sastra
阿羅漢	arhat
阿羅漢果	state of full attainment of arhatship
阿蘭若	Aranya
阿蘭陀	Aranya
阿那含	1 Anāgāmin; 2.non-returner
阿那含果	realization of non-returner
阿闍黎	acarya
阿難	Ananda
陀羅尼	Dharani
降伏非典國泰民安世界和平祈福大法會	Cross-Strait Prayer for SARS and World Peace Dharma Service
陞座大典	Inaugural Ceremony
隔靴抓癢	to scratch an itch from outside the boot
障礙	hindrance
隨…(無標題) 隨遇而安處處天堂 隨緣生活不要執著 隨心自在行事無礙 隨喜作務廣結善緣 隨筆記錄留下歷史 隨時服務給人方便 隨症用藥藥到病除 隨分處世樂天知命 隨眾合作同心協力 隨方就圓處事融和 隨口好話讚歎法門 隨高就低謙虛做人 隨機應變聰敏靈巧 隨智而作發揮所長 隨順因緣能得善果 隨念放下心無罣礙 隨境轉化克服困難 隨處作主低調安排 隨類教化觀機逗教 隨願成就發菩提心	Follow......  Follow all circumstances with peace: any place is heaven to you.  Follow all conditions in life: do not be attached.  Follow your heart with perfect ease: nothing is impossible.  Follow a joyful heart at work: broadly develop good affinities.  Follow your pen and write down important moments of history.  Follow your chances to help others: give others convenience.  Follow the doctor's instructions: let the medicine heal you.  Follow your role always: enjoy every task at hand.  Follow your team: collective effort makes you stronger.  Follow your place: get along harmoniously with others.  Follow your kindness when speaking: praise and compliment.  Follow the current that goes from high to low: stay humble.  Follow your wit: respond with acuity and agility.  Follow your wisdom: play to your strengths.  Follow causes and conditions: good will come to you.  Follow your willingness to let go: be free of troubles.  Follow the situation at hand and resolve issues accordingly.  Follow the lead and keep low-key.  Follow aptitudes and teach appropriately.  Follow your vow and develop the Bodhi Mind.
隨分	according to (one's) allotment
隨堂開示錄	Collection of Talks from Dharma Services
隨堂開示錄 1：教育講習	Collection of Talks from Dharma Services: Educational Seminars
隨堂開示錄 2：青年勉勵	Collection of Talks from Dharma Services: Inspiration for Youths
隨堂開示錄 3：講座論壇	Collection of Talks from Dharma Services: Lectures and Forums
隨堂開示錄 4：集會共修	Collection of Talks from Dharma Services: Cultivation Gatherings
隨堂開示錄 5：對談專訪	Collection of Talks from Dharma Services: Dialogues and Interviews
隨堂開示錄 6：各類致詞	Collection of Talks from Dharma Services: Assorted Speeches
隨時給人信心 隨處給人歡喜 隨口給人希望 隨緣給人方便	Always give others faith. Always give others joy. Always give others hope. Always give others convenience.
隨法行	Follow the Dharma
隨波逐浪	to drift with the waves and go with the flow
隨緣	to accord with conditions
隨緣不變	to follow conditions while remaining unmoved
隨緣不變是最好的性格	It is best to follow conditions with an unchanging principle
隨緣消舊業 更莫造新殃	To eradicate past karma follow the right conditions; To forestall new ones take caution.
隨遇而安	follow any conditions with perfect ease
隨順	Follow and Oblige
隴中對	Long Zhong Dialogue
集會堂	Light Transmission Building
集結	Collection
雙圓堂	Double Bliss Meeting Room
雙閣樓	Twin Pavilions
雙閣樓滴水坊	Twin Pavilions of the Buddha Memorial Center Museum
雜染	Polluted
離一切分別 證無上菩提	Break away from all discriminations; Attain the supreme bodhi.
離世求菩提  猶如覓兔角	to seek bodhi apart from the world is like searching for the horn of a hare
離垢	Undefiled
難思議	Inconceivable
難行道	the difficult path
難遭難遇	The rarest of encounters
雨潤千山秀 風和萬物榮	Nourished by the rain, picturesque mountains; Caressed by the wind, a prosperous world.
雲來集	Great Gathering
雲天	Cloud in the Sky
雲居樓	Cloud Dwelling Building
雲山器度	A Bearing as Majestic as the Clouds and Mountains
雲山氣度 梅蘭風華	A Bearing as Majestic as the Clouds and Mountains; A Demeanor as Graceful as the Orchids
雲山霞蔚	Clouds, Mountains, Glorious Twilight
雲從足下繞 江向日邊流	Clouds surround the foundation; Creeks head toward the sun.
雲水一身天上下  風濤萬里海西東	Reaching heaven above and below: cloud and water as one body; Blowing across countless miles of oceans east and west: waves.
雲水三千	Cloud and Water
雲水三千 我心悠然	Cloud and Water; My Carefree Mind
雲水三千 行道天下	Cloud and Water ; Practice the Way in the World
雲水三千 隨緣自在	Cloud and Water; Follow Conditions Freely
雲水三千─星雲大師弘法五十年影像特展	Cloud and Water: A 50 Year Anniversary Photobiography of Venerable Master Hsing Yun Special Exhibition
雲水三千專輯	Cloud and Water Album
雲水十方	Traveling Like Cloud and Water
雲水日月	Bright Star, Luminous Cloud
雲水日月 松竹常青	Days and Nights Like Cloud and Water; Eternally Lush Pine and Bamboo
雲水樓拾語	Memoirs of the Cloud and Water Building
雲水浴佛	Mobile Buddha Bathing Stand
雲水禪心	Heart of Cloud, Free Water, the Chan Mind
雲水義診	Cloud and Water Mobile Clinic
雲水自在	At Ease Like Cloud and Water
雲水醫院	Cloud & Water Mobile Clinic
雲淡風輕	Like Wind That Clears the Clouds
雲湖書院	Yunhu Academy
雲無心以出岫 鳥倦飛而知還	Unwittingly, clouds top the highest peaks; Waking, birds return home on weary feathers.
雲遊	to travel freely
雲門餅	Yunmen cake
雲開月現	When Clouds Disperse, the Moon Reveals
雲開月現 水到渠成	When Clouds Disperse, the Moon Reveals; When Water Flows, a Channel Is Formed
雷音寺的故事	Story of Lei Yin Temple
電光石火	transient lightning and flint-fire
電子佛典推進協議會	Electronic Buddhist Text Initiative (EBTI)
露馬腳	to show the cloven foot
靈山	Spiritual Mountain
靈山之夜	Night at Vulture Peak
