#Chinese	#English
三衣一缽; 1. 僧伽梨 2. 鬱多羅僧 3. 安陀會 4. 缽        	Robe and Bowl: 1. Sanghati (monastic robe); 2. Uttarasanga (upper robe); 3. Anatarvasaka (inner robe); 4. Katora (bowl)
三覺圓滿	Perfected in the Three Types of Enlightenment
三資糧; 1. 信 2. 願 3. 行	Three Supports: 1. faith; 2. vows; 3. practice
三輪體空; 1. 施者 2. 受者 3. 施物	Giving: 1. the giver; 2. the recipient; 3. the gift
三轉法輪	Three Turnings of Dharma Wheel
三途: 1. 畜生 2. 餓鬼 3. 地獄	Three Lower Realms: 1. Animal Realm; 2. Realm of Hungry Ghosts; 3. Hell Realms
三重文化廣場	Sanchong Cultural Plaza
三陽和諧	Auspicious Blessing of Peace and Harmony
上乘	superior vehicle
上人	supreme teacher
上報四重恩，下濟三途苦	have gratitude for the four kindnesses, and follow the Dharma to cross over the three lower realms of existence
上大供	great offering
上客堂	Upper Guest Hall
下化眾生	backtrack to deliver sentient beings
下鄉弘法	Countryside Dharma Propagation
不二	Non-Duality
不二門	Non-Duality Gate
不二門	the Gate of Non-Duality
不二門中參妙道 大千界內叩玄關	Delve into the wondrous way inside the Gate of Non-Duality; Break through the doorway into the great chiliocosm.
不以得為喜 不以失為悲 不以求為苦 不以有為樂	Do not take gain to be joy. Do not take loss to be pain. Do not take yearning to be suffering. Do not take having to happiness.
不倒單	never laying down
不共業	individual karma
不動尊	Acala
不動心	Unmoving Mind
不即不離	neither close nor far
不可得	unobtainable
不可說	inexplicable
不增不減	neither increases nor decreases
不妄語	not lying
不忘初心 全力以赴	Never Forget One’s Initial Aspirations; Always Give Your Best Effort
不思善	not thinking about the wholesome
不思惡	not thinking about the unwholesome
不思議	inconceivable
不放逸	no laxity
不是冤家不聚頭	destiny will make enemies meet
不比較，不計較	Never compare or calculate
不生不滅	neither arises nor extinguishes
不看僧面看佛面	if not for the sake of the monk, at least for that of the Buddha
不知道的樂趣	There is fun in not knowing.
不空過	Do Not Pass Time in Vain
不立文字	cannot be set down in words
不經一番寒徹骨 那有梅花撲鼻香	Without going through the cruel and harsh winter; How can the plum turn tangy with fragrance
不自在	not in perfect ease
不要做海豚	Don't be a dolphin.
不要做焦芽敗種	Let's not perish together.
不要將歉疚帶到棺材裡去	Never bring your regret to your deathbed.
不要讓阿彌陀佛代替我們報恩	Don't let Amitabha Buddha pay for what we owe.
不要錯失良機	Seize your opportunities
不見不聞的世界	A world of not looking and not listening
不誑語	not lying
不變隨緣	remain unmoved while following the conditions
不退轉	never regress or change
不雨花猶落 無風絮自飛	Flowers will fall even without the rain, Catkins will fly away even without the wind.
世事不必爭人我 身心放下見乾坤	Needless to fight over self and others; Upon letting go, the Truth is revealed.
世事有分別 人我一家親	Despite the differences in this world; Every person is family to me.
世人二十苦 忍者苦口難言 愚者苦海無邊 病者苦不堪言 盲者苦於無光 佞者苦心積慮 孤者苦無照顧 老者苦有代溝 貪者苦求無著 貧者苦雨淒風 邪者苦事無窮 犯者苦陷牢獄 惡者苦果必然 業者苦心經營 師者苦口婆心 達者苦中有樂 勇者苦忍有力 學者苦心研究 勤者苦盡甘來 智者苦能轉樂 仁者苦節飄香	Twenty Pains of Life One who endures finds the pain indescribable. One who is ignorant is trapped in the abyss of suffering. One who is sick is in unspeakable pain. One who is blind is blocked from rays of light. One who is wicked is chained by painstaking plot. One who is in solitude is threatened by loneliness. One who is old is isolated by generation gaps. One who is greedy is deprived of freedom. One who is poor is desolated by rain and cold. One who is evil is trapped in endless suffering. One who is convicted is locked behind bars. One who is unwholesome will never escape suffering. One who is in business is entangled by the tediousness of management. One who is the teacher is willing to advise earnestly and kindly. One who is skillful is able to find joy in hardship. One who is brave has the power to end suffering. One who is well learned is able to commit to his research. One who is diligent can put an end to hardship. One who is wise can turn suffering into happiness. One who is benevolent will leave behind a good name.
世俗	Secular
世有人我相 禪無分別心	In this world, there may be self and others; In Chan, the discriminative mind never was.
世界佛光童軍大會	World BLIA Scout Jamboree
世界佛光青年大會	International Buddha’s Light Young Adult Conference
世界佛教僧伽會	International Congress of World Buddhist Sangha Council
世界佛教居士林林刊	The World Buddhist Lay Association Magazine
世界佛教徒聯誼會	World Fellowship of Buddhists
世界佛教比丘尼協會	World Buddhism Bhikkuni Association
世界佛教美術圖說大辭典	Encyclopedia of World Buddhist Arts
世界佛教青年友誼大會	General Conference of the World Fellowship of Buddhist Youth
世界佛教青年會1985年學術會議	1985 WFBY Academic Conference
世界佛教青年會學術會議	World Fellowship of Buddhist Youth (WFBY)
